Month,Day,Hour,Sammonpuistikko,Hietaniemenkatu,Eteläinen Hesperiankatu,Kesäkatu
6,4,9,0.0,,26.0,12.0
6,4,10,0.9166666666666666,,23.666666666666668,11.416666666666666
6,4,11,0.3333333333333333,,18.833333333333332,12.916666666666666
6,4,12,1.6666666666666667,,12.166666666666666,13.666666666666666
6,4,13,4.583333333333333,,10.25,15.416666666666666
6,4,14,0.25,,10.666666666666666,16.833333333333332
6,4,15,2.8333333333333335,,13.166666666666666,16.666666666666668
6,4,16,4.75,,18.583333333333332,17.583333333333332
6,4,17,5.25,,13.416666666666666,11.0
6,4,18,5.25,,9.916666666666666,10.916666666666666
6,4,19,2.0833333333333335,,6.333333333333333,11.416666666666666
6,4,20,1.75,,6.25,16.0
6,4,21,0.08333333333333333,,6.416666666666667,12.666666666666666
6,4,22,0.5833333333333334,,8.0,11.25
6,4,23,0.5833333333333334,,8.5,10.083333333333334
6,5,0,1.4166666666666667,,9.0,10.0
6,5,1,1.8333333333333333,,10.333333333333334,10.0
6,5,2,2.0,,11.0,10.0
6,5,3,2.0,,11.0,10.0
6,5,4,2.0,,11.0,10.0
6,5,5,1.8181818181818181,,11.181818181818182,10.0
6,5,6,0.16666666666666666,,12.0,10.0
6,5,7,0.0,,10.083333333333334,10.583333333333334
6,5,8,0.0,,7.714285714285714,12.571428571428571
6,5,9,0.3333333333333333,,0.5833333333333334,18.75
6,5,10,0.0,,2.4166666666666665,10.666666666666666
6,5,11,0.0,,3.6666666666666665,8.0
6,5,12,0.0,,1.1666666666666667,6.333333333333333
6,5,13,1.5,,8.75,2.25
6,5,14,2.6666666666666665,,9.5,1.8333333333333333
6,5,15,0.3333333333333333,,8.916666666666666,0.4166666666666667
6,5,16,3.6666666666666665,,6.083333333333333,0.0
6,5,17,8.416666666666666,,7.083333333333333,0.16666666666666666
6,5,18,7.416666666666667,,7.333333333333333,2.4166666666666665
6,5,19,10.5,,9.333333333333334,4.0
6,5,20,11.0,,11.25,2.75
6,5,21,13.0,,11.166666666666666,3.0833333333333335
6,5,22,11.25,,10.333333333333334,3.0
6,5,23,13.666666666666666,,10.0,3.0
6,6,0,14.0,,10.0,3.0
6,6,1,14.25,,10.0,2.5833333333333335
6,6,2,15.0,,10.0,2.0
6,6,3,15.75,,10.0,2.0
6,6,4,16.0,,10.0,2.0
6,6,5,16.0,,10.0,2.0
6,6,6,15.166666666666666,,10.75,2.25
6,6,7,9.833333333333334,,8.5,4.083333333333333
