air_temperature_2m,time
281.116821,1664658000.0
280.443634,1664661600.0
279.69693,1664665200.0
279.764038,1664668800.0
279.383667,1664672400.0
278.537323,1664676000.0
278.064392,1664679600.0
277.276672,1664683200.0
277.699799,1664686800.0
278.415863,1664690400.0
278.69754,1664694000.0
278.925812,1664697600.0
280.117096,1664701200.0
281.413391,1664704800.0
282.882141,1664708400.0
284.003632,1664712000.0
284.401855,1664715600.0
284.284119,1664719200.0
283.605743,1664722800.0
281.978485,1664726400.0
280.524597,1664730000.0
279.595306,1664733600.0
279.064392,1664737200.0
278.601868,1664740800.0
278.381348,1664744400.0
278.313965,1664748000.0
278.063141,1664751600.0
278.063843,1664755200.0
277.501892,1664758800.0
276.844391,1664762400.0
276.393066,1664766000.0
276.079346,1664769600.0
276.400726,1664773200.0
277.395111,1664776800.0
278.842224,1664780400.0
280.144073,1664784000.0
281.383728,1664787600.0
282.610718,1664791200.0
283.131439,1664794800.0
283.32962,1664798400.0
283.308258,1664802000.0
283.204224,1664805600.0
282.863037,1664809200.0
282.331512,1664812800.0
281.822083,1664816400.0
281.406616,1664820000.0
281.086395,1664823600.0
280.937744,1664827200.0
280.822754,1664830800.0
280.720306,1664834400.0
280.508606,1664838000.0
278.076447,1664841600.0
278.719238,1664845200.0
278.92627,1664848800.0
279.423126,1664852400.0
279.584351,1664856000.0
280.091492,1664859600.0
280.383087,1664863200.0
280.6138,1664866800.0
280.756256,1664870400.0
281.056519,1664874000.0
281.147705,1664877600.0
281.069214,1664881200.0
280.865479,1664884800.0
280.492645,1664888400.0
280.422119,1664892000.0
280.170441,1664895600.0
279.764038,1664899200.0
279.435547,1664902800.0
279.33905,1664906400.0
279.186493,1664910000.0
279.056976,1664913600.0
278.898193,1664917200.0
278.738586,1664920800.0
277.467102,1664924400.0
275.714905,1664928000.0
275.135651,1664931600.0
274.837006,1664935200.0
274.704407,1664938800.0
275.115753,1664942400.0
275.85614,1664946000.0
276.626892,1664949600.0
277.549805,1664953200.0
278.179382,1664956800.0
278.312683,1664960400.0
278.712158,1664964000.0
278.932983,1664967600.0
279.124359,1664971200.0
279.508484,1664974800.0
279.901276,1664978400.0
280.021423,1664982000.0
280.191681,1664985600.0
280.28421,1664989200.0
280.468292,1664992800.0
280.726624,1664996400.0
280.970703,1665000000.0
281.218323,1665003600.0
281.537628,1665007200.0
282.049194,1665010800.0
284.328766,1665014400.0
284.417938,1665018000.0
284.906738,1665021600.0
285.01001,1665025200.0
284.994507,1665028800.0
285.170258,1665032400.0
285.359375,1665036000.0
285.539154,1665039600.0
285.343109,1665043200.0
285.043854,1665046800.0
284.954071,1665050400.0
285.399841,1665054000.0
285.369659,1665057600.0
283.746735,1665061200.0
282.992279,1665064800.0
282.966461,1665068400.0
282.83606,1665072000.0
282.375519,1665075600.0
282.321472,1665079200.0
282.442383,1665082800.0
282.396088,1665086400.0
282.17868,1665090000.0
281.735107,1665093600.0
281.487579,1665097200.0
281.557068,1665100800.0
280.78009,1665104400.0
281.560883,1665108000.0
282.167664,1665111600.0
281.843597,1665115200.0
281.699646,1665118800.0
281.660278,1665122400.0
282.287567,1665126000.0
283.00061,1665129600.0
283.853851,1665133200.0
284.747284,1665136800.0
285.289154,1665140400.0
285.522858,1665144000.0
285.171387,1665147600.0
284.687958,1665151200.0
284.163788,1665154800.0
283.460388,1665158400.0
283.314331,1665162000.0
282.792633,1665165600.0
282.925903,1665169200.0
283.501984,1665172800.0
283.774323,1665176400.0
284.381042,1665180000.0
284.477234,1665183600.0
285.313202,1665187200.0
285.278259,1665190800.0
285.192322,1665194400.0
284.776611,1665198000.0
284.866852,1665201600.0
284.438599,1665205200.0
284.192413,1665208800.0
284.4216,1665212400.0
284.637634,1665216000.0
284.035278,1665219600.0
284.326843,1665223200.0
283.837677,1665226800.0
283.934448,1665230400.0
283.880859,1665234000.0
283.920532,1665237600.0
283.50412,1665241200.0
282.78595,1665244800.0
282.117737,1665248400.0
281.200226,1665252000.0
280.392242,1665255600.0
280.01944,1665259200.0
279.904785,1665262800.0
279.504059,1665266400.0
279.34613,1665270000.0
279.637787,1665273600.0
278.97052,1665277200.0
279.014801,1665280800.0
278.863251,1665284400.0
278.492523,1665288000.0
278.321167,1665291600.0
278.513153,1665295200.0
279.357605,1665298800.0
280.448639,1665302400.0
281.393982,1665306000.0
281.847229,1665309600.0
282.478546,1665313200.0
282.775024,1665316800.0
282.816711,1665320400.0
282.616058,1665324000.0
281.902527,1665327600.0
280.574066,1665331200.0
279.946289,1665334800.0
279.511139,1665338400.0
279.324615,1665342000.0
279.472778,1665345600.0
279.581818,1665349200.0
279.345367,1665352800.0
279.103088,1665356400.0
277.752899,1665360000.0
277.853668,1665363600.0
277.814178,1665367200.0
277.867371,1665370800.0
278.383942,1665374400.0
278.969482,1665378000.0
279.284637,1665381600.0
280.547852,1665385200.0
282.067352,1665388800.0
283.787415,1665392400.0
285.108551,1665396000.0
285.740845,1665399600.0
286.24707,1665403200.0
286.162994,1665406800.0
285.660248,1665410400.0
284.950653,1665414000.0
284.489166,1665417600.0
284.525574,1665421200.0
284.247528,1665424800.0
283.966827,1665428400.0
283.352814,1665432000.0
283.072479,1665435600.0
282.814362,1665439200.0
282.698639,1665442800.0
282.366577,1665446400.0
282.537628,1665450000.0
282.676819,1665453600.0
282.408173,1665457200.0
281.709991,1665460800.0
281.631317,1665464400.0
281.4758,1665468000.0
281.607513,1665471600.0
281.413666,1665475200.0
281.16864,1665478800.0
280.778503,1665482400.0
280.700836,1665486000.0
280.81665,1665489600.0
281.041992,1665493200.0
281.202362,1665496800.0
281.174622,1665500400.0
281.851624,1665504000.0
280.900635,1665507600.0
281.075378,1665511200.0
280.863342,1665514800.0
279.306976,1665518400.0
278.382263,1665522000.0
277.550568,1665525600.0
276.780396,1665529200.0
279.015503,1665532800.0
279.68573,1665536400.0
279.251892,1665540000.0
279.066071,1665543600.0
278.880676,1665547200.0
278.67041,1665550800.0
279.253906,1665554400.0
279.869781,1665558000.0
280.508545,1665561600.0
281.166534,1665565200.0
281.728485,1665568800.0
282.122009,1665572400.0
282.426239,1665576000.0
282.369507,1665579600.0
282.018707,1665583200.0
281.357239,1665586800.0
280.434296,1665590400.0
279.008514,1665594000.0
278.00061,1665597600.0
277.168091,1665601200.0
276.772461,1665604800.0
276.416199,1665608400.0
276.161316,1665612000.0
276.031799,1665615600.0
274.14325,1665619200.0
274.745667,1665622800.0
274.65271,1665626400.0
274.396515,1665630000.0
274.468109,1665633600.0
274.711823,1665637200.0
275.477356,1665640800.0
276.7323,1665644400.0
277.896545,1665648000.0
279.321899,1665651600.0
280.598358,1665655200.0
281.685059,1665658800.0
282.37912,1665662400.0
282.663116,1665666000.0
282.62085,1665669600.0
282.319916,1665673200.0
281.764801,1665676800.0
281.021606,1665680400.0
280.812073,1665684000.0
280.595703,1665687600.0
280.521484,1665691200.0
280.312469,1665694800.0
280.288971,1665698400.0
280.504211,1665702000.0
281.991425,1665705600.0
281.849823,1665709200.0
281.976898,1665712800.0
281.845947,1665716400.0
281.531097,1665720000.0
281.183228,1665723600.0
281.51004,1665727200.0
281.511078,1665730800.0
281.837646,1665734400.0
281.897858,1665738000.0
281.748871,1665741600.0
281.583191,1665745200.0
281.538239,1665748800.0
281.532654,1665752400.0
281.602631,1665756000.0
281.669403,1665759600.0
281.709717,1665763200.0
281.644257,1665766800.0
281.631256,1665770400.0
281.614807,1665774000.0
281.58017,1665777600.0
281.564148,1665781200.0
281.570404,1665784800.0
281.652649,1665788400.0
282.022217,1665792000.0
282.038086,1665795600.0
281.975616,1665799200.0
282.031494,1665802800.0
281.885651,1665806400.0
282.048676,1665810000.0
281.986633,1665813600.0
282.126099,1665817200.0
282.45343,1665820800.0
282.898621,1665824400.0
282.795776,1665828000.0
283.195862,1665831600.0
283.223358,1665835200.0
283.396088,1665838800.0
283.369568,1665842400.0
283.31366,1665846000.0
283.316803,1665849600.0
283.190704,1665853200.0
283.058594,1665856800.0
283.141876,1665860400.0
283.359161,1665864000.0
283.410492,1665867600.0
283.337708,1665871200.0
283.2789,1665874800.0
283.605621,1665878400.0
283.537964,1665882000.0
283.472382,1665885600.0
283.51062,1665889200.0
283.345612,1665892800.0
283.498077,1665896400.0
283.63269,1665900000.0
283.770477,1665903600.0
283.712097,1665907200.0
283.742218,1665910800.0
283.669983,1665914400.0
283.645203,1665918000.0
283.703827,1665921600.0
283.935028,1665925200.0
284.020172,1665928800.0
284.124786,1665932400.0
284.030548,1665936000.0
284.177338,1665939600.0
283.982025,1665943200.0
284.016418,1665946800.0
284.041138,1665950400.0
283.488037,1665954000.0
283.650604,1665957600.0
283.448944,1665961200.0
282.651581,1665964800.0
282.563721,1665968400.0
282.836487,1665972000.0
282.442688,1665975600.0
282.380493,1665979200.0
282.441406,1665982800.0
282.137024,1665986400.0
281.099487,1665990000.0
280.563385,1665993600.0
280.782257,1665997200.0
281.602997,1666000800.0
281.878265,1666004400.0
282.362946,1666008000.0
282.648315,1666011600.0
282.505768,1666015200.0
281.842804,1666018800.0
281.048767,1666022400.0
279.455658,1666026000.0
278.429565,1666029600.0
277.782806,1666033200.0
277.0867,1666036800.0
276.536743,1666040400.0
276.242706,1666044000.0
275.97113,1666047600.0
278.833923,1666051200.0
279.043365,1666054800.0
279.261505,1666058400.0
279.452087,1666062000.0
279.552155,1666065600.0
279.542328,1666069200.0
279.640106,1666072800.0
279.951843,1666076400.0
280.550781,1666080000.0
281.098083,1666083600.0
281.22641,1666087200.0
280.861816,1666090800.0
280.628998,1666094400.0
280.38858,1666098000.0
279.859222,1666101600.0
278.328583,1666105200.0
277.631531,1666108800.0
277.115356,1666112400.0
277.086884,1666116000.0
277.214294,1666119600.0
277.014374,1666123200.0
276.707611,1666126800.0
276.213806,1666130400.0
276.161316,1666134000.0
274.416473,1666137600.0
274.473907,1666141200.0
274.466278,1666144800.0
274.394653,1666148400.0
274.283508,1666152000.0
274.290833,1666155600.0
274.41095,1666159200.0
275.021118,1666162800.0
275.83783,1666166400.0
276.697296,1666170000.0
277.347778,1666173600.0
277.674713,1666177200.0
278.120148,1666180800.0
278.25946,1666184400.0
278.119232,1666188000.0
277.56781,1666191600.0
276.896942,1666195200.0
276.667145,1666198800.0
276.27655,1666202400.0
275.965088,1666206000.0
275.240448,1666209600.0
274.307495,1666213200.0
273.982269,1666216800.0
274.020203,1666220400.0
276.784607,1666224000.0
277.168274,1666227600.0
277.340424,1666231200.0
277.311584,1666234800.0
277.212433,1666238400.0
277.254486,1666242000.0
277.336151,1666245600.0
278.154999,1666249200.0
279.135742,1666252800.0
279.80777,1666256400.0
280.159485,1666260000.0
280.870087,1666263600.0
281.088928,1666267200.0
280.991241,1666270800.0
280.461456,1666274400.0
279.003265,1666278000.0
278.015869,1666281600.0
277.05072,1666285200.0
276.481323,1666288800.0
276.283508,1666292400.0
276.001007,1666296000.0
275.570374,1666299600.0
275.437836,1666303200.0
275.43399,1666306800.0
277.677155,1666310400.0
277.512543,1666314000.0
277.368835,1666317600.0
277.295593,1666321200.0
277.175873,1666324800.0
277.339752,1666328400.0
277.349335,1666332000.0
277.532623,1666335600.0
277.728699,1666339200.0
277.86377,1666342800.0
277.919952,1666346400.0
277.873993,1666350000.0
277.927032,1666353600.0
278.039948,1666357200.0
278.082092,1666360800.0
278.026703,1666364400.0
277.969604,1666368000.0
277.930115,1666371600.0
277.940582,1666375200.0
278.017273,1666378800.0
278.138031,1666382400.0
278.222534,1666386000.0
278.305237,1666389600.0
278.201172,1666393200.0
276.920959,1666396800.0
277.372986,1666400400.0
277.533508,1666404000.0
277.706848,1666407600.0
277.555725,1666411200.0
277.605377,1666414800.0
277.763428,1666418400.0
278.281281,1666422000.0
278.988068,1666425600.0
279.797913,1666429200.0
280.304047,1666432800.0
280.498627,1666436400.0
280.679688,1666440000.0
280.68335,1666443600.0
280.432343,1666447200.0
280.178101,1666450800.0
279.843384,1666454400.0
279.494446,1666458000.0
279.438538,1666461600.0
279.436768,1666465200.0
279.37796,1666468800.0
279.273468,1666472400.0
279.082947,1666476000.0
278.897095,1666479600.0
279.555359,1666483200.0
279.314087,1666486800.0
279.252075,1666490400.0
279.011963,1666494000.0
278.424805,1666497600.0
278.323669,1666501200.0
278.284607,1666504800.0
278.369171,1666508400.0
278.700653,1666512000.0
279.15625,1666515600.0
279.592957,1666519200.0
279.691254,1666522800.0
279.695679,1666526400.0
279.420563,1666530000.0
278.708069,1666533600.0
277.87439,1666537200.0
276.83548,1666540800.0
276.913513,1666544400.0
276.583954,1666548000.0
275.483124,1666551600.0
274.811279,1666555200.0
274.4151,1666558800.0
274.043884,1666562400.0
273.852875,1666566000.0
273.297577,1666569600.0
272.880615,1666573200.0
272.738739,1666576800.0
272.469391,1666580400.0
272.556519,1666584000.0
272.954895,1666587600.0
272.807739,1666591200.0
273.676819,1666594800.0
274.81781,1666598400.0
275.942688,1666602000.0
276.826599,1666605600.0
277.470917,1666609200.0
277.760254,1666612800.0
277.631958,1666616400.0
276.616791,1666620000.0
275.072754,1666623600.0
274.253357,1666627200.0
273.790039,1666630800.0
273.543091,1666634400.0
273.393372,1666638000.0
273.296051,1666641600.0
273.039795,1666645200.0
272.5177,1666648800.0
272.073364,1666652400.0
272.244965,1666656000.0
271.716461,1666659600.0
271.270569,1666663200.0
270.989014,1666666800.0
270.767578,1666670400.0
270.789429,1666674000.0
270.75351,1666677600.0
271.743958,1666681200.0
273.42392,1666684800.0
274.967041,1666688400.0
276.195923,1666692000.0
276.604401,1666695600.0
276.782806,1666699200.0
276.555847,1666702800.0
276.134399,1666706400.0
275.862183,1666710000.0
275.659485,1666713600.0
275.196014,1666717200.0
274.600342,1666720800.0
274.347382,1666724400.0
274.356567,1666728000.0
274.48111,1666731600.0
274.683105,1666735200.0
274.82196,1666738800.0
274.367279,1666742400.0
274.74707,1666746000.0
274.999023,1666749600.0
275.268799,1666753200.0
