id,start,end,tags,hours,hours_per_tag
230,2024-09-09 09:45:49,2024-09-09 10:25:15,tic,0.6572222222222223,0.2190740740740741
230,2024-09-09 09:45:49,2024-09-09 10:25:15,ttv,0.6572222222222223,0.2190740740740741
229,2024-09-09 11:08:19,2024-09-09 11:20:35,dan,0.20444444444444446,0.10222222222222223
229,2024-09-09 11:08:19,2024-09-09 11:20:35,dan: planning,0.20444444444444446,0.10222222222222223
228,2024-09-09 11:20:57,2024-09-09 11:45:00,discrete: planning,0.4008333333333333,0.1336111111111111
228,2024-09-09 11:20:57,2024-09-09 11:45:00,tic,0.4008333333333333,0.1336111111111111
228,2024-09-09 11:20:57,2024-09-09 11:45:00,ttv,0.4008333333333333,0.1336111111111111
227,2024-09-09 11:58:56,2024-09-09 12:16:58,tic,0.3005555555555556,0.1502777777777778
227,2024-09-09 11:58:56,2024-09-09 12:16:58,valintakoe: tsek-palaveri,0.3005555555555556,0.1502777777777778
226,2024-09-09 12:17:10,2024-09-09 12:46:18,dan,0.4855555555555556,0.2427777777777778
226,2024-09-09 12:17:10,2024-09-09 12:46:18,eahot dan,0.4855555555555556,0.2427777777777778
225,2024-09-10 04:29:54,2024-09-10 04:31:09,communication,0.020833333333333332,0.010416666666666666
225,2024-09-10 04:29:54,2024-09-10 04:31:09,ttv,0.020833333333333332,0.010416666666666666
224,2024-09-10 04:31:13,2024-09-10 04:37:57,dan,0.11222222222222222,0.05611111111111111
224,2024-09-10 04:31:13,2024-09-10 04:37:57,eahot dan,0.11222222222222222,0.05611111111111111
223,2024-09-10 04:38:02,2024-09-10 05:12:06,discrete: planning,0.5677777777777778,0.18925925925925927
223,2024-09-10 04:38:02,2024-09-10 05:12:06,tic,0.5677777777777778,0.18925925925925927
223,2024-09-10 04:38:02,2024-09-10 05:12:06,ttv,0.5677777777777778,0.18925925925925927
222,2024-09-10 06:14:55,2024-09-10 07:20:18,dan,1.0897222222222223,0.5448611111111111
222,2024-09-10 06:14:55,2024-09-10 07:20:18,dan: planning,1.0897222222222223,0.5448611111111111
221,2024-09-10 07:41:10,2024-09-10 09:40:51,dan,1.9947222222222223,0.9973611111111111
221,2024-09-10 07:41:10,2024-09-10 09:40:51,dan: planning,1.9947222222222223,0.9973611111111111
220,2024-09-10 10:00:41,2024-09-10 10:12:39,dan,0.19944444444444445,0.06648148148148149
220,2024-09-10 10:00:41,2024-09-10 10:12:39,vanhaa valintakoetta pystyyn,0.19944444444444445,0.06648148148148149
220,2024-09-10 10:00:41,2024-09-10 10:12:39,yfs,0.19944444444444445,0.06648148148148149
219,2024-09-10 10:12:42,2024-09-10 10:18:20,discrete: planning,0.09388888888888888,0.031296296296296294
219,2024-09-10 10:12:42,2024-09-10 10:18:20,tic,0.09388888888888888,0.031296296296296294
219,2024-09-10 10:12:42,2024-09-10 10:18:20,ttv,0.09388888888888888,0.031296296296296294
218,2024-09-10 10:18:26,2024-09-10 10:58:37,dan,0.6697222222222222,0.22324074074074074
218,2024-09-10 10:18:26,2024-09-10 10:58:37,vanhaa valintakoetta pystyyn,0.6697222222222222,0.22324074074074074
218,2024-09-10 10:18:26,2024-09-10 10:58:37,yfs,0.6697222222222222,0.22324074074074074
217,2024-09-10 12:11:25,2024-09-10 13:46:27,discrete: teaching fi,1.583888888888889,0.7919444444444445
217,2024-09-10 12:11:25,2024-09-10 13:46:27,ttv,1.583888888888889,0.7919444444444445
